gameId,target,blockNum,playerId,originalGroup,dominantTermSource,totalSpecificTermsUsed,usesOwnGroupTerms,condition,nTermsFromA,nTermsFromB,nTermsFromC
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,A,1,0,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,5,01KJN7B32C1C5254NSG6ZK1GRK,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,5,01KJN7BYA5X3A2G30KZECRY2HY,B,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,5,01KJN7931DXZ65NXTWK1GNEZMW,C,C,3,1,refer_separated,0,0,3
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,5,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,5,01KJN7BYA5X3A2G30KZECRY2HY,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,4,01KJN77XQHYQ5TVVY4HZM02E7R,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,4,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page9-46,4,01KJN7AAWT4GWKRZ7B9775509P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,3,01KJN79PCAAMFX7P2QF70Y3HJM,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,3,01KJN79ZQD1E4YD03FE5CGJY8K,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,3,01KJN7B4V2673GK7HGVSG52R2P,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,4,01KJN77XQHYQ5TVVY4HZM02E7R,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,4,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,4,01KJN7AAWT4GWKRZ7B9775509P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page-B,2,01KJN7931DXZ65NXTWK1GNEZMW,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,2,01KJN7B32C1C5254NSG6ZK1GRK,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page-B,2,01KJN7BYA5X3A2G30KZECRY2HY,B,tied,2,1,refer_separated,1,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,4,01KJN77XQHYQ5TVVY4HZM02E7R,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,4,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,C,1,0,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,4,01KJN7AAWT4GWKRZ7B9775509P,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,2,01KJN7931DXZ65NXTWK1GNEZMW,C,C,3,1,refer_separated,0,0,3
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,2,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page5-28,2,01KJN7BYA5X3A2G30KZECRY2HY,B,B,2,1,refer_separated,0,2,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,4,01KJN77XQHYQ5TVVY4HZM02E7R,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,4,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,4,01KJN7AAWT4GWKRZ7B9775509P,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,2,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,2,01KJN7B32C1C5254NSG6ZK1GRK,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,2,01KJN7BYA5X3A2G30KZECRY2HY,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,2,01KJN7931DXZ65NXTWK1GNEZMW,C,C,1,1,refer_separated,0,0,1
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,2,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-255,2,01KJN7BYA5X3A2G30KZECRY2HY,B,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,2,01KJN7931DXZ65NXTWK1GNEZMW,C,C,2,1,refer_separated,0,0,2
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,2,01KJN7B32C1C5254NSG6ZK1GRK,A,A,1,1,refer_separated,1,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page3-35,2,01KJN7BYA5X3A2G30KZECRY2HY,B,B,1,1,refer_separated,0,1,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,4,01KJN77XQHYQ5TVVY4HZM02E7R,C,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,4,01KJN79ZRTRDMY6RH8ZCYCM9NV,A,none,0,0,refer_separated,0,0,0
01KJN6MMPQTMDYRN709DP5DSDA,page7-107,4,01KJN7AAWT4GWKRZ7B9775509P,B,B,1,1,refer_separated,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,0,01KJN79B14FBSYSKKCG2BYVBB6,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,0,01KJN79J529BWBWTESKB6D9MB7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,0,01KJN7C40WEQBDF48ACG18M0EV,B,B,3,1,social_mixed,0,3,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,3,01KJN79B14FBSYSKKCG2BYVBB6,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,3,01KJN79J529BWBWTESKB6D9MB7,C,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,3,01KJN7C40WEQBDF48ACG18M0EV,B,C,1,0,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,2,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,4,1,social_mixed,0,0,4
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,2,01KJN7A44GGBE9XR412KV5BFSC,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,2,01KJN7AZC7FAG17CY924MRTCF7,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,1,01KJN7863BFF3ZYZGVVSATZTH7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,1,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,2,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,2,01KJN7A44GGBE9XR412KV5BFSC,B,B,2,1,social_mixed,0,2,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,2,01KJN7AZC7FAG17CY924MRTCF7,A,tied,2,1,social_mixed,1,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page-B,1,01KJN7863BFF3ZYZGVVSATZTH7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page-B,1,01KJN792W85XPK9QGH8A6HSYSJ,B,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page-B,1,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,2,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,2,01KJN7A44GGBE9XR412KV5BFSC,B,B,2,1,social_mixed,0,2,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,2,01KJN7AZC7FAG17CY924MRTCF7,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,1,01KJN7863BFF3ZYZGVVSATZTH7,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,1,01KJN792W85XPK9QGH8A6HSYSJ,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,1,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,tied,2,1,social_mixed,1,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,2,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,2,01KJN7A44GGBE9XR412KV5BFSC,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,2,01KJN7AZC7FAG17CY924MRTCF7,A,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,1,01KJN7863BFF3ZYZGVVSATZTH7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,1,01KJN792W85XPK9QGH8A6HSYSJ,B,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,1,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,2,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,2,01KJN7A44GGBE9XR412KV5BFSC,B,B,3,1,social_mixed,0,3,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,2,01KJN7AZC7FAG17CY924MRTCF7,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,1,01KJN7863BFF3ZYZGVVSATZTH7,C,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,1,01KJN792W85XPK9QGH8A6HSYSJ,B,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,1,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,tied,2,1,social_mixed,1,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,3,01KJN79B14FBSYSKKCG2BYVBB6,A,C,2,0,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,3,01KJN79J529BWBWTESKB6D9MB7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,3,01KJN7C40WEQBDF48ACG18M0EV,B,B,2,1,social_mixed,0,2,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,1,01KJN7863BFF3ZYZGVVSATZTH7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,1,01KJN792W85XPK9QGH8A6HSYSJ,B,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,1,01KJN7AAX1VHZ1A7ZB35BNRH8N,A,C,3,1,social_mixed,1,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,0,01KJN79B14FBSYSKKCG2BYVBB6,A,tied,2,1,social_mixed,1,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,0,01KJN79J529BWBWTESKB6D9MB7,C,C,3,1,social_mixed,0,0,3
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,0,01KJN7C40WEQBDF48ACG18M0EV,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page-B,0,01KJN79B14FBSYSKKCG2BYVBB6,A,tied,2,1,social_mixed,1,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page-B,0,01KJN79J529BWBWTESKB6D9MB7,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page-B,0,01KJN7C40WEQBDF48ACG18M0EV,B,B,3,1,social_mixed,0,3,0
01KJN6MMQ03KZPZN0275VZXK6R,page-B,3,01KJN79B14FBSYSKKCG2BYVBB6,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page-B,3,01KJN79J529BWBWTESKB6D9MB7,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page-B,3,01KJN7C40WEQBDF48ACG18M0EV,B,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,3,01KJN79B14FBSYSKKCG2BYVBB6,A,tied,2,1,social_mixed,1,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,3,01KJN79J529BWBWTESKB6D9MB7,C,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,3,01KJN7C40WEQBDF48ACG18M0EV,B,B,2,1,social_mixed,0,2,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,3,01KJN79B14FBSYSKKCG2BYVBB6,A,B,1,0,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,3,01KJN79J529BWBWTESKB6D9MB7,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,3,01KJN7C40WEQBDF48ACG18M0EV,B,C,1,0,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page-B,2,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page-B,2,01KJN7A44GGBE9XR412KV5BFSC,B,B,4,1,social_mixed,0,4,0
01KJN6MMQ03KZPZN0275VZXK6R,page-B,2,01KJN7AZC7FAG17CY924MRTCF7,A,tied,2,1,social_mixed,1,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,0,01KJN79B14FBSYSKKCG2BYVBB6,A,tied,2,1,social_mixed,1,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,0,01KJN79J529BWBWTESKB6D9MB7,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page3-35,0,01KJN7C40WEQBDF48ACG18M0EV,B,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,0,01KJN79B14FBSYSKKCG2BYVBB6,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,0,01KJN79J529BWBWTESKB6D9MB7,C,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,0,01KJN7C40WEQBDF48ACG18M0EV,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,0,01KJN79B14FBSYSKKCG2BYVBB6,A,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,0,01KJN79J529BWBWTESKB6D9MB7,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,0,01KJN7C40WEQBDF48ACG18M0EV,B,C,1,0,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,5,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,1,1,social_mixed,0,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,5,01KJN7A44GGBE9XR412KV5BFSC,B,B,2,1,social_mixed,0,2,0
01KJN6MMQ03KZPZN0275VZXK6R,page9-46,5,01KJN7AZC7FAG17CY924MRTCF7,A,tied,2,1,social_mixed,1,0,1
01KJN6MMQ03KZPZN0275VZXK6R,page-B,5,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page-B,5,01KJN7A44GGBE9XR412KV5BFSC,B,tied,2,1,social_mixed,0,1,1
01KJN6MMQ03KZPZN0275VZXK6R,page-B,5,01KJN7AZC7FAG17CY924MRTCF7,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,5,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,5,01KJN7A44GGBE9XR412KV5BFSC,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page5-28,5,01KJN7AZC7FAG17CY924MRTCF7,A,none,0,0,social_mixed,0,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,5,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,4,1,social_mixed,0,0,4
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,5,01KJN7A44GGBE9XR412KV5BFSC,B,B,1,1,social_mixed,0,1,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-107,5,01KJN7AZC7FAG17CY924MRTCF7,A,A,1,1,social_mixed,1,0,0
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,5,01KJN78DQ6KC0F9N1HA0BPB44R,C,C,2,1,social_mixed,0,0,2
01KJN6MMQ03KZPZN0275VZXK6R,page7-255,5,01KJN7A44GGBE9XR412KV5BFSC,B,B,3,1,social_mixed,0,3,0
